Response,"Submitted on:",Institution,Department,Course,Group,ID,"Full name",Username,Q01_Objectives,"Q02_Achieve Objectives","Q03_Developed Subject Knowledge","Q04_Theory & Practice Link","Q05_Important Concepts","Q06_Critical Thinking",Q07_Assessment,Q08_Teaching,"Q09_Inclusive Delivery","Q10_Supportive Resources","Q11_Engagement with Lecturer","Q12_Module Aspects Liked","Q13_Aspects for Improvement","Q14_Any other Comments"
24309,"06/12/2021 11:55:22",,,"ST405[A] — Bayesian Data Analysis (2021-22:Semester 1)",,,Anonymous1,,"1 : Strongly Agree","1 : Strongly Agree","2 : Agree","2 : Agree","2 : Agree","1 : Strongly Agree","2 : Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","Overall, taught very well, good to have the option of both recorded lectures as well as in person. Having a tutorial sheet as well as an assignment sheet was good for practice.","The assignment questions could have been more theory based rather than using R for every question, so that we would have more of an idea of what kind of questions would come up in the exam.","An enjoyable module, hope you have a nice Christmas break :)"
24467,"06/12/2021 22:13:36",,,"ST405[A] — Bayesian Data Analysis (2021-22:Semester 1)",,,Anonymous2,,"2 : Agree","3 : Disagree","2 : Agree","3 : Disagree","2 : Agree","3 : Disagree","2 : Agree","2 : Agree","2 : Agree","2 : Agree","2 : Agree",,,
24422,"06/12/2021 16:41:57",,,"ST405[A] — Bayesian Data Analysis (2021-22:Semester 1)",,,Anonymous3,,"2 : Agree","3 : Disagree","2 : Agree","2 : Agree","2 : Agree","3 : Disagree","2 : Agree","2 : Agree","2 : Agree","3 : Disagree","2 : Agree",,,
24242,"05/12/2021 23:23:17",,,"ST405[A] — Bayesian Data Analysis (2021-22:Semester 1)",,,Anonymous4,,"1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","Really interesting course and very well laid out, where the topics are clearly presented and built upon each week.The lecture recordings are incredibly useful, particularly when doing the assignments, and for study as well. Would be great if this was the norm for all lectures.Having the tutorial questions and the assignment questions that are similar but different works very well to get a better understanding of the topics and reinforce what has been done in class.Hannah was very good at talking through the tutorial questions and answering queries - made the assignment questions much easier to complete afterwards.",None,"Great module - thanks Niamh and Hannah"
24497,"07/12/2021 11:31:04",,,"ST405[A] — Bayesian Data Analysis (2021-22:Semester 1)",,,Anonymous5,,"1 : Strongly Agree","2 : Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","2 : Agree","2 : Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","I enjoyed the rather fast pace and difficulty of the module, as Bayesian modelling is a new topic to me this challenge was expected and appreciated. Niamh taught the module really well and kept the topics moving along at a good pace for learning. Although this is definitely a difficult subject to grasp at times i still really enjoyed it.","I think it could be useful to add one or two interactive quizzes on moodle to be completed by a student (worth no grade). I feel that due to the heavily computer based background to this module, some online questions (much like the few online in-class quizzes that were done but just left on moodule to be completed) may aid students to intuitively learn whilst also doing the general theory.","Nope. Just thanks to Niamh, everything was great and we appreciate the effort you put in to the module as a whole!!"
24799,"08/12/2021 09:22:54",,,"ST405[A] — Bayesian Data Analysis (2021-22:Semester 1)",,,Anonymous6,,"1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","2 : Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","The teaching method adopted was very easy to follow and understand.","Bringing in more practical elements would be one of the things if we are knit-picking. But, all in all it was a great experience to learn the other side of statistics",None
24779,"07/12/2021 23:46:45",,,"ST405[A] — Bayesian Data Analysis (2021-22:Semester 1)",,,Anonymous7,,"2 : Agree","2 : Agree","2 : Agree","2 : Agree","2 : Agree","2 : Agree","2 : Agree","2 : Agree","2 : Agree","2 : Agree","2 : Agree",,,
24166,"04/12/2021 00:03:39",,,"ST405[A] — Bayesian Data Analysis (2021-22:Semester 1)",,,Anonymous8,,"2 : Agree","2 : Agree","2 : Agree","1 : Strongly Agree","2 : Agree","3 : Disagree","2 : Agree","2 : Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree",,,
24197,"04/12/2021 23:01:11",,,"ST405[A] — Bayesian Data Analysis (2021-22:Semester 1)",,,Anonymous9,,"1 : Strongly Agree","2 : Agree","2 : Agree","1 : Strongly Agree","2 : Agree","2 : Agree","2 : Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree",,,
24442,"06/12/2021 18:17:13",,,"ST405[A] — Bayesian Data Analysis (2021-22:Semester 1)",,,Anonymous10,,"1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","1 : Strongly Agree","Niamh has always tried to keep us very engaging with the module, either by taking small tests on Mondays or by putting up the online recordings of the lectures the very same day. Despite of attending the lectures, we can always go back and see the lecture recordings in case of any doubts.Niamh has always been very helpful with our doubts. I have learned so much in classes and it has been a great experience.",,"Niamh is an excellent teacher with clear understanding of the module and provided a mix of theoretical and practical methods to transfer her knowledge."
